AD	127	127
AE	503	507
AL	338	338
AR	2215	2281
AS	63	68
AT	847	845
AU	2670	2704
AX	95	101
BA	578	583
BD	677	678
BE	551	553
BG	757	760
BM	25	42
BO	770	929
BR	3213	3241
BT	232	338
BW	504	507
BY	4	11
CA	2996	3013
CC	7	25
CH	592	591
CL	1454	1522
CO	1756	1789
CR	493	507
CW	110	110
CX	25	25
CY	102	101
CZ	760	760
DE	1712	1713
DK	762	760
DO	211	211
EC	975	1014
EE	505	507
EG	4	8
ES	1735	1736
FI	1041	1039
FO	168	169
FR	1797	1805
GB	1448	1446
GE	755	764
GH	1002	1056
GI	40	42
GL	123	127
GR	1048	1048
GT	787	803
GU	84	84
HK	168	169
HR	634	634
HU	759	760
ID	2562	2560
IE	762	764
IL	522	524
IM	84	84
IN	1969	1979
IS	483	507
IT	1555	1557
JE	68	68
JO	372	507
JP	2237	2240
KE	1283	1352
KG	441	508
KH	581	913
KR	757	760
KZ	589	597
LA	191	211
LB	30	32
LI	40	42
LK	762	765
LS	252	253
LT	508	507
LU	253	253
LV	509	507
MC	42	42
ME	245	253
MG	14	26
MK	109	211
ML	4	4
MN	343	373
MO	93	93
MP	84	84
MQ	3	4
MT	192	194
MX	2343	2450
MY	1683	1690
NA	595	634
NG	1539	1588
NL	673	677
NO	1276	1276
NP	465	465
NZ	1263	1267
OM	448	528
PA	462	507
PE	1428	1479
PH	1740	1741
PK	2	29
PL	1268	1267
PN	5	8
PR	151	152
PS	199	211
PT	673	676
PY	906	929
QA	186	211
RE	106	106
RO	1179	1183
RS	500	507
RU	3615	3645
RW	175	176
SE	1530	1534
SG	170	169
SI	381	372
SK	509	507
SM	125	127
SN	982	1017
ST	24	42
SZ	322	321
TH	1715	1943
TN	422	422
TR	1628	1630
TW	766	765
UA	1092	1098
UG	142	211
UM	6	13
US	4175	4178
UY	441	760
VI	127	127
VN	1331	1352
ZA	2210	2278
