AD	106	107
AL	343	344
AT	793	794
AX	82	86
BA	589	593
BE	557	558
BG	779	773
BY	3	7
CH	599	601
CY	119	120
CZ	773	773
DE	920	915
DK	774	773
EE	514	515
ES	1890	1890
FI	1035	1031
FO	150	150
FR	1887	1889
GB	1459	1460
GI	26	26
GR	1034	1031
HR	645	644
HU	773	773
IE	774	773
IM	86	86
IS	486	515
IT	1547	1550
JE	43	43
LI	89	90
LT	515	515
LU	194	193
LV	516	515
MC	34	34
ME	269	283
MK	113	217
MT	191	193
NL	684	687
NO	1372	1374
PL	1285	1288
PT	685	687
RO	1214	1215
RS	507	515
RU	3673	3701
SE	1544	1546
SI	391	386
SK	515	515
SM	108	107
UA	1113	1116
